id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
1570,0,1,0,0,0,0,0,0,0,0,0
1571,1,0,0,0,0,0,0,0,1,0,0
1572,0,1,0,1,0,0,0,0,1,0,0
1573,1,0,1,0,0,0,0,0,0,0,1
1574,0,0,0,0,0,0,0,1,0,0,1
1575,0,0,1,1,0,0,0,0,0,0,1
1576,0,0,1,0,0,0,0,0,0,0,1
1577,0,1,0,0,0,0,0,0,0,0,0
1578,0,0,1,0,0,0,0,0,1,0,0
1579,0,1,0,0,0,0,0,0,1,0,0
1580,0,0,0,1,0,1,0,0,1,0,0
1581,0,0,0,1,0,1,0,0,1,0,0
1582,0,0,1,1,0,0,0,0,0,0,0
1583,0,0,0,1,0,0,0,0,1,0,0
1584,1,0,1,1,0,0,0,0,0,0,1
1585,0,0,0,1,0,0,0,0,1,0,0
1586,1,0,0,0,0,0,0,0,0,0,1
1587,0,0,0,1,0,1,0,1,1,0,0
1588,0,0,0,1,0,0,1,0,1,0,0
1589,0,1,1,0,0,0,0,0,0,0,1
1590,0,0,1,0,0,0,0,0,1,0,0
1591,0,0,1,1,0,0,0,0,1,0,0
1592,1,0,1,1,0,1,0,1,0,0,1
1593,1,1,1,0,0,0,0,0,0,0,1
1594,0,0,0,1,0,0,0,0,1,0,0
1595,1,1,1,0,0,0,0,0,0,0,1
1596,0,0,0,0,0,0,1,0,0,0,1
1597,0,0,1,0,0,0,0,0,0,0,1
1598,0,0,1,1,0,0,0,0,1,0,1
1599,0,1,0,0,0,0,0,0,0,0,0
1600,0,0,0,1,0,0,0,0,1,1,0
1601,0,0,1,1,0,0,0,0,0,0,0
1602,0,0,1,0,0,0,0,0,0,0,0
1603,0,0,1,0,1,0,0,0,0,0,1
1604,0,1,1,0,0,0,0,0,0,0,1
1605,1,0,1,1,0,0,0,0,1,0,0
1606,0,0,0,1,0,0,0,0,1,0,0
1607,0,0,1,0,0,0,0,0,0,0,1
1608,0,0,1,0,0,0,0,0,0,0,0
1609,1,0,1,0,0,0,0,0,0,0,1
1610,0,0,0,1,0,0,0,0,1,0,0
1611,0,0,1,1,0,0,0,0,0,0,1
1612,1,0,1,0,0,0,1,1,1,0,1
1613,0,1,1,0,0,0,0,0,0,0,1
1614,0,0,1,1,0,1,0,0,1,0,0
1615,0,0,0,1,0,0,0,0,1,0,0
1616,0,0,1,0,0,0,0,0,0,0,0
1617,0,0,0,1,0,0,0,0,0,0,1
1618,0,0,1,0,0,0,0,0,0,0,1
1619,0,0,1,1,0,0,0,0,1,0,0
1620,0,0,1,0,0,0,0,0,0,0,1
1621,0,1,0,0,0,0,0,1,1,0,0
1622,1,0,0,0,0,0,0,0,0,1,1
1623,0,0,1,1,0,0,0,0,0,0,0
1624,1,0,0,0,0,0,0,0,0,0,0
1625,1,1,0,0,0,0,0,0,0,1,1
1626,0,0,1,1,0,0,0,1,0,0,0
1627,1,0,1,1,0,0,0,0,1,0,0
1628,0,0,1,0,0,0,0,0,0,0,1
1629,0,1,1,0,1,0,0,0,1,0,0
1630,1,0,0,0,0,0,1,1,1,0,0
1631,0,1,0,0,0,0,0,0,0,0,0
1632,0,0,1,1,0,0,0,0,0,0,0
1633,0,0,1,1,0,0,0,0,1,0,0
1634,0,0,0,1,0,0,0,0,1,0,1
1635,0,0,1,1,0,0,0,0,1,0,0
1636,0,0,1,1,0,0,0,0,0,0,0
1637,0,0,0,0,0,0,0,0,0,0,1
1638,0,0,1,0,0,0,0,0,0,0,1
1639,0,0,1,1,0,0,0,0,1,0,1
1640,0,0,1,0,0,0,0,0,1,0,0
1641,0,0,1,1,0,0,0,1,1,0,0
1642,0,0,0,0,0,0,0,0,0,0,1
1643,0,0,1,1,0,0,0,1,1,0,0
1644,0,1,0,1,0,0,0,0,1,0,0
1645,1,0,0,0,0,0,0,0,0,0,1
1646,1,1,0,0,0,0,0,0,0,1,1
1647,1,0,1,0,0,0,0,1,1,0,1
1648,0,0,1,1,0,0,0,0,1,0,0
1649,0,0,1,0,0,0,0,0,1,0,0
1650,0,0,0,0,0,0,0,0,0,0,1
1651,1,1,0,0,0,0,0,0,0,0,1
1652,0,0,1,1,0,0,0,0,0,0,0
1653,1,0,1,1,0,1,0,0,1,0,1
1654,0,0,1,1,0,0,0,0,0,0,1
1655,0,0,0,1,0,0,1,0,1,0,0
1656,0,0,1,0,0,0,0,1,1,0,0
1657,0,1,1,0,0,0,0,0,1,0,0
1658,1,1,0,0,0,0,0,0,0,0,1
1659,1,0,1,0,0,0,1,0,0,0,1
1660,0,0,1,1,0,0,0,0,0,0,0
1661,0,1,0,0,0,0,0,0,1,0,0
1662,0,0,0,1,0,0,1,0,1,0,0
1663,0,0,1,0,0,0,0,0,0,0,0
1664,1,1,1,1,0,1,0,0,1,0,1
1665,0,0,1,1,0,0,0,0,1,0,0
1666,0,0,1,1,0,0,0,0,0,0,0
1667,0,0,0,1,0,0,0,1,1,0,0
1668,0,0,0,1,0,0,0,0,1,0,0
1669,0,0,1,1,0,0,0,0,1,0,0
1670,1,0,1,0,0,0,0,0,0,0,1
1671,0,0,0,1,0,1,0,0,1,1,0
1672,0,0,1,1,1,0,0,0,1,0,0
1673,0,0,0,1,0,0,0,0,1,0,0
1674,0,0,1,1,0,0,0,0,1,0,0
1675,0,0,0,0,0,0,0,0,1,0,0
1676,1,1,0,0,0,0,0,0,0,0,1
1677,0,0,0,0,0,0,0,0,1,0,0
1678,0,0,1,1,0,0,0,0,1,0,1
1679,0,0,1,0,0,1,0,0,1,0,0
1680,1,0,1,0,0,0,0,0,1,0,1
1681,1,0,0,0,0,0,0,1,0,0,1
1682,0,0,1,1,0,0,0,0,0,0,0
1683,0,1,0,0,0,0,0,0,0,1,0
1684,0,0,0,1,1,1,0,0,1,0,0
1685,0,0,0,1,0,0,0,0,1,0,0
1686,0,0,0,0,0,0,0,0,0,0,1
1687,0,0,0,0,0,0,0,0,0,0,0
1688,0,0,1,1,0,0,0,0,0,0,0
1689,0,0,1,1,0,0,0,1,1,0,0
1690,0,0,1,1,0,0,0,0,0,0,0
1691,0,0,1,0,0,0,0,0,0,0,0
1692,0,0,1,0,0,0,0,0,0,0,1
1693,0,1,0,0,0,1,0,0,1,0,0
1694,0,0,0,0,0,0,0,0,0,0,0
1695,0,0,1,1,0,0,0,0,1,0,0
1696,0,0,1,1,0,0,0,0,0,0,1
1697,0,0,0,0,0,0,0,0,0,0,0
1698,0,0,0,0,0,0,0,0,0,0,0
1699,0,0,1,0,0,0,0,0,0,0,0
1700,0,0,1,1,0,0,0,0,1,0,0
1701,0,0,1,1,0,0,0,0,1,0,0
1702,0,0,1,0,0,0,0,0,1,0,1
1703,0,0,0,1,0,0,0,0,1,0,0
1704,1,0,1,0,0,0,1,0,0,0,1
1705,0,0,0,0,0,0,1,1,0,1,1
1706,0,0,1,1,0,0,0,0,1,0,0
1707,1,0,1,0,0,0,0,0,0,0,0
1708,0,0,0,1,0,0,0,0,1,0,0
1709,0,1,1,0,0,0,0,0,0,1,1
1710,0,0,1,1,0,0,0,0,1,0,0
