id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
294,0,1,1,1,0,0,0,0,1,0,0
295,0,0,0,1,0,1,0,0,1,0,0
296,0,0,1,1,0,0,0,0,0,0,0
297,0,0,1,0,0,0,0,0,0,0,0
298,0,0,1,1,0,0,0,0,1,0,1
299,0,0,1,1,0,0,0,0,0,0,0
300,0,0,1,0,0,0,0,0,1,0,0
301,0,0,0,1,0,0,1,1,1,1,0
302,0,0,1,1,0,0,0,0,1,0,0
303,0,0,1,1,0,0,0,0,1,0,0
304,0,0,1,0,0,0,0,0,0,0,1
305,0,0,1,0,0,1,0,0,1,0,0
306,0,0,0,1,0,0,0,0,0,0,0
307,0,0,1,0,0,0,0,0,0,0,0
308,0,1,0,0,0,0,0,0,0,0,0
309,0,0,1,1,0,0,0,0,0,0,0
310,0,0,1,1,0,1,0,1,1,0,0
311,0,0,1,1,0,1,0,0,1,0,0
312,0,0,0,1,0,0,0,0,0,0,0
313,0,0,0,1,0,0,0,0,1,0,0
314,0,0,0,1,0,0,0,0,0,0,0
315,1,0,1,0,0,0,0,0,0,0,1
316,0,1,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,1,0,1
318,0,0,1,1,0,0,0,0,0,0,0
319,0,0,1,0,0,0,0,0,0,0,1
320,1,1,1,0,0,0,0,0,0,0,0
321,0,0,1,0,0,0,0,0,0,0,0
322,0,0,1,1,0,0,0,0,0,0,0
323,1,1,0,0,0,0,0,0,0,0,0
324,0,0,1,1,0,0,0,0,1,0,0
325,0,0,1,0,0,0,0,0,0,0,1
326,1,0,1,0,0,1,0,0,1,0,1
327,0,0,1,0,0,0,0,0,0,0,1
328,0,0,1,1,0,0,0,0,0,0,0
329,0,0,0,1,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,1,0,0
331,0,0,1,0,0,0,0,0,0,0,0
332,0,0,0,1,1,0,0,0,0,0,0
333,1,0,0,0,0,0,0,0,0,0,0
334,0,0,0,1,0,0,0,0,1,0,0
335,0,0,1,0,0,0,0,0,0,0,1
336,0,0,1,1,0,0,0,0,0,0,1
337,0,0,0,1,0,0,0,0,1,0,1
338,0,0,1,0,0,0,0,0,0,0,0
339,0,0,1,0,0,0,0,0,0,0,0
340,0,0,1,0,0,0,0,0,0,1,1
341,0,0,0,0,0,0,0,0,1,0,0
342,0,0,0,0,0,0,0,0,1,0,1
343,0,0,1,0,1,0,0,0,1,0,0
344,1,0,0,1,0,0,0,0,1,0,0
